ID,Punkt_ID_G4B,Erzeugen,Ã„ndern,X-Koordinate,Y-Koordinate,Hoehe_Elips,available_Satelliten,Used_Satelliten,PDOP,Anz__Mitteln,Korrtyp
1,try,2023.05.23 11:17:48,2023.05.23 11:18:09,2681249.73,1253687.77,491.808,19,10,2.61,0,100.00% FloatRTK
2,NA,2023.05.23 11:18:27,2023.05.23 11:18:27,2681249.93,1253687.81,491.859,19,11,2.3,0,100.00% FloatRTK
3,glma1,2023.05.24 11:51:13,2023.05.24 11:52:50,2731097.561,1203398.005,912.051,18,7,2.5,0,100.00% FloatRTK
4,glma2,2023.05.24 14:43:49,2023.05.24 14:44:24,2732303.312,1201802.413,1012.917,20,13,1.52,0,100.00% AutonomousGPS
5,luwe1,2023.05.25 9:45:38,2023.05.25 9:46:01,2675696.811,1211391.229,665.873,18,9,2.09,0,100.00% FloatRTK
6,lugr4,2023.05.25 12:58:07,2023.05.25 12:58:23,2676506.958,1212300.867,881.967,19,9,3.5,0,100.00% FloatRTK
7,lugr3,2023.05.26 11:40:47,2023.05.26 11:41:41,2676279.854,1212505.7,731.819,18,7,2.48,0,100.00% FloatRTK
8,lugr5,2023.05.26 14:54:32,2023.05.26 14:54:58,2676700.14,1211588.579,1061.984,20,10,2.9,0,100.00% FloatRTK
9,bebe3,2023.05.30 12:29:39,2023.05.30 12:30:01,2627022.753,1171573.785,1161.441,18,11,2.4,0,100.00% FloatRTK
10,bebe1,2023.05.30 15:22:59,2023.05.30 15:23:09,2627248.532,1171144.459,857.44,19,10,2.47,0,100.00% FloatRTK
11,NA,2023.05.30 18:43:42,2023.05.30 18:43:42,2625491.345,1171361.65,1293.768,19,12,1.8,0,100.00% DiffGPS
12,bebe6,2023.05.30 18:45:05,2023.05.30 18:46:15,2625491.235,1171361.169,1294.014,20,8,2.6,0,100.00% FloatRTK
13,NA,2023.05.31 9:45:27,2023.05.31 9:45:27,2624437.681,1171476.372,1279.871,17,12,1.8,0,100.00% DiffGPS
14,bebe5,2023.05.31 9:51:22,2023.05.31 9:51:35,2624437.742,1171475.723,1283.353,19,11,2.14,0,100.00% DiffGPS
15,bebe2,2023.05.31 11:32:26,2023.05.31 11:33:31,2626424.958,1170883.116,1082.14,17,7,2.6,0,100.00% FloatRTK
16,bebe4,2023.05.31 13:55:38,2023.05.31 13:55:45,2629796.694,1172503.13,1198.801,19,9,2.08,0,100.00% FloatRTK
17,NA,2023.06.05 12:35:16,2023.06.05 12:35:19,2641546.136,1164909.802,951.72,17,10,2.25,0,100.00% FloatRTK
18,begr47,2023.06.05 12:35:38,2023.06.05 12:36:02,2641546.713,1164909.821,951.723,17,9,2.17,0,100.00% FloatRTK
19,begr49,2023.06.05 14:43:05,2023.06.05 14:43:27,2641449.41,1165509.107,1044.098,17,9,3.8,0,100.00% FloatRTK
20,gr13,2023.06.05 17:38:46,2023.06.05 17:39:05,2640450.505,1164395.733,1185.74,19,9,4,0,100.00% FloatRTK
21,begr50,2023.06.06 11:11:34,2023.06.06 11:11:47,2643190.532,1165131.376,1126.887,17,13,1.4,0,100.00% AutonomousGPS
22,begr02,2023.06.06 12:34:29,2023.06.06 12:34:43,2645477.701,1163075.239,1014.324,18,12,1.74,0,100.00% AutonomousGPS
23,begr03,2023.06.06 14:17:07,2023.06.06 14:17:21,2644095.699,1163456.627,1035.397,20,9,2.4,0,100.00% AutonomousGPS
24,begr03,2023.06.06 14:19:03,2023.06.06 14:19:13,2644093.849,1163453.802,1029.041,19,9,2.8,0,100.00% FloatRTK
25,begr20,2023.06.06 15:04:53,2023.06.06 15:05:56,2644487.427,1165327.578,1359.087,19,12,2.1,0,100.00% FloatRTK
26,begr11,2023.06.06 16:56:29,2023.06.06 16:56:39,2640748.814,1164724.123,1060.682,16,6,3.7,0,100.00% FloatRTK
27,begr14,2023.06.06 19:12:04,2023.06.06 19:12:25,2642549.986,1163418.708,1325.552,19,12,1.73,0,100.00% FloatRTK
28,begr5,2023.06.07 9:56:01,2023.06.07 9:56:08,2645260.226,1162829.812,1041.735,18,6,3.5,0,100.00% FloatRTK
29,begr8,2023.06.07 14:02:37,2023.06.07 14:03:05,2643900.567,1164179.797,1037.924,20,10,2.24,0,100.00% FloatRTK
30,begr24,2023.06.07 17:28:46,2023.06.07 17:28:54,2644262.347,1166172.229,1583.855,18,10,2,0,100.00% FloatRTK
31,begr28,2023.06.08 10:44:49,2023.06.08 10:45:09,2644760.281,1163789.659,1003.412,17,9,2.1,0,100.00% FloatRTK
32,begr6,2023.06.08 14:03:38,2023.06.08 14:03:44,2643307.898,1164800.765,1038.512,19,9,4,0,100.00% FloatRTK
33,grti2,2023.06.12 12:07:38,2023.06.12 12:07:55,2761105.235,1170600.917,1246.822,18,9,2.89,0,100.00% FloatRTK
34,grti1,2023.06.12 15:30:03,2023.06.12 15:30:13,2761196.241,1170698.787,1181.137,18,10,2.9,0,100.00% FloatRTK
35,grti3,2023.06.13 9:40:32,2023.06.13 9:41:26,2759696.256,1170501.099,1592.935,18,8,2.9,0,100.00% FloatRTK
36,grmu1,2023.06.13 13:41:43,2023.06.13 13:41:56,2758597.917,1171103.223,1551.005,20,11,2.3,0,100.00% FloatRTK
37,grrh2,2023.06.13 16:18:12,2023.06.13 16:18:48,2749294.332,1181893.708,1353.962,18,8,3.29,0,100.00% FloatRTK
38,grtu1,2023.06.14 9:42:42,2023.06.14 9:43:13,2704430.477,1170624.798,1286.662,18,9,4,0,100.00% FloatRTK
39,P1-gr-tu4,2023.06.14 11:40:04,2023.06.14 11:40:35,2699915.261,1170001.823,1508.988,19,10,2.53,0,100.00% FloatRTK
40,grtu8,2023.06.14 13:27:32,2023.06.14 13:27:43,2699722.993,1170226.047,1569.278,22,10,2.48,0,100.00% FloatRTK
41,grsi1,2023.06.14 17:16:30,2023.06.14 17:16:53,2730900.981,1184803.56,1620.223,18,9,3.7,0,100.00% FloatRTK
42,grfl3,2023.06.15 9:45:23,2023.06.15 9:45:41,2749599.611,1174699.985,1476.412,18,10,2.75,0,100.00% FloatRTK
43,grur1,2023.06.15 11:11:56,2023.06.15 11:12:22,2749300.343,1174200.013,1548.125,20,11,1.82,0,100.00% FloatRTK
44,grts1,2023.06.15 13:29:27,2023.06.15 13:29:38,2748201.793,1173992.096,1761.037,20,10,1.79,0,100.00% FloatRTK
45,P2-be-gr-53,2023.06.19 9:45:19,2023.06.19 9:46:59,2648241.745,1164619.978,1252.579,18,9,2.6,0,100.00% FloatRTK
46,mp2-be-gr-25,2023.06.19 12:54:50,2023.06.19 12:55:33,2649312.408,1165553.271,1481.329,20,9,2.48,0,80.00% FloatRTK 20.00% DiffGPS
47,NA,2023.06.19 12:56:13,2023.06.19 12:56:13,2649312.649,1165553.176,1481.534,20,8,2.78,0,100.00% FloatRTK
48,p2-be-gr-544,2023.06.19 15:59:07,2023.06.19 16:00:11,2646259.807,1164744.958,1258.944,16,9,2.44,0,80.00% FloatRTK 20.00% DiffGPS
49,p2-be-gr-56,2023.06.19 18:19:26,2023.06.19 18:20:10,2647208.611,1166012.333,1488.819,19,9,2.31,0,100.00% FloatRTK
50,mp3-be-gr-36,2023.06.20 11:13:08,2023.06.20 11:13:24,2644677.404,1162950.339,1120.479,18,10,1.7,0,100.00% AutonomousGPS
51,mp3-be-gr-34,2023.06.20 12:57:42,2023.06.20 12:58:02,2645063.829,1162743.134,1091.771,20,12,1.77,0,100.00% AutonomousGPS
52,mp-be-gr-38,2023.06.20 14:38:31,2023.06.20 14:39:05,2643343.25,1163002.045,1216.871,17,14,1.4,0,100.00% AutonomousGPS
53,p2-be-gr-52,2023.06.20 16:04:43,2023.06.20 16:04:57,2640947.64,1164862.553,1034.685,16,11,1.68,0,100.00% AutonomousGPS
54,mp2-be-gr-19,2023.06.21 8:56:03,2023.06.21 8:56:23,2643588.402,1165575.927,1381.482,17,10,1.8,0,100.00% AutonomousGPS
55,p1-be-gr-51,2023.06.21 10:42:09,2023.06.21 10:42:27,2643601.901,1165807.564,1490.511,18,10,1.8,0,100.00% AutonomousGPS
56,mp3-be-gr-44,2023.06.21 13:19:32,2023.06.21 13:19:49,2644250.658,1165868.768,1476.929,18,11,1.87,0,100.00% AutonomousGPS
57,mp3-be-gr-45,2023.06.21 15:11:38,2023.06.21 15:11:48,2644548.34,1166069.85,1534.529,18,11,2,0,100.00% AutonomousGPS
58,mp3-be-gr-40,2023.06.22 8:53:37,2023.06.22 8:54:00,2646198.56,1164799.775,1270.594,19,11,2,0,100.00% AutonomousGPS
59,mp2-be-gr-18,2023.06.22 11:09:08,2023.06.22 11:09:22,2646979.828,1165299.836,1388.439,18,10,2.29,0,100.00% AutonomousGPS
60,p3-be-gr-59,2023.06.22 13:28:08,2023.06.22 13:28:48,2647084.901,1166219.261,1551.187,17,13,1.6,0,100.00% AutonomousGPS
61,mp3-be-gr-43,2023.06.22 16:01:11,2023.06.22 16:01:27,2647110.05,1165669.895,1444.797,17,12,1.4,0,100.00% AutonomousGPS
62,mp2-be-gr-23,2023.06.23 9:17:10,2023.06.23 9:17:23,2647720.009,1165734.016,1457.54,18,10,2.18,0,100.00% AutonomousGPS
63,glma5,2023.06.26 10:16:24,2023.06.26 10:17:02,2733102.691,1203190.753,1406.844,18,10,2.7,0,100.00% FloatRTK
64,glma5-true,2023.06.26 10:38:37,2023.06.26 10:38:53,2733101.551,1203212.325,1407.997,17,10,3.19,0,100.00% FloatRTK
65,glma7,2023.06.26 12:07:08,2023.06.26 12:07:26,2732741.433,1203620.491,1543.636,19,7,3.33,0,100.00% FloatRTK
66,glma4,2023.06.26 15:09:54,2023.06.26 15:10:37,2732713.73,1203024.573,1354.673,19,9,2.38,0,100.00% FloatRTK
67,p1-gr-tu-6,2023.07.03 9:03:14,2023.07.03 9:03:48,2702258.924,1171111.712,1537.67,26,10,2.1,0,100.00% AutonomousGPS
70,p1-gr-tu-5,2023.07.03 12:53:09,2023.07.03 12:53:38,2700906.715,1170715.93,1522.63,18,10,2,0,100.00% FloatRTK
71,p1-gr-tu-11,2023.07.03 14:43:44,2023.07.03 14:43:55,2700215.967,1170640.04,1614.26,19,7,3.4,0,100.00% FloatRTK
72,p1-gr-tu-3,2023.07.03 18:25:23,2023.07.03 18:25:33,2700130.761,1169820.836,1467.35,18,9,2.5,0,100.00% FloatRTK
73,p3-gr-tu-20,2023.07.04 8:57:46,2023.07.04 8:58:00,2699578.295,1169537.583,1576.06,18,12,1.2,0,100.00% AutonomousGPS
74,p1-gr-tu-12,2023.07.04 12:23:15,2023.07.04 12:23:28,2699198.501,1169567.052,1649.23,20,7,3.2,0,100.00% FloatRTK
75,p1-gr-tu-15,2023.07.04 14:26:18,2023.07.04 14:26:29,2698223.153,1169121.774,1888.53,18,7,2.4,0,100.00% FloatRTK
76,p1-gr-tu-13,2023.07.05 9:01:16,2023.07.05 9:01:32,2698329.568,1168880.983,1762.46,18,11,1.7,0,100.00% FloatRTK
77,p1-gr-tu-9,2023.07.05 11:32:11,2023.07.05 11:32:23,2698213.998,1168581.673,1600.68,20,10,2.8,0,100.00% FloatRTK
78,p1-gr-tu-10,2023.07.05 13:58:54,2023.07.05 13:59:10,2697909.966,1168379.944,1606.16,17,8,3.1,0,100.00% FloatRTK
79,p1-gr-tu-1,2023.07.05 16:29:11,2023.07.05 16:29:33,2702801.101,1170622.056,1430.93,18,11,2.3,0,100.00% FloatRTK
80,p1-gr-tu-14,2023.07.06 10:26:48,2023.07.06 10:27:17,2696406.697,1167856.828,1825.26,18,10,3.8,0,100.00% FloatRTK
81,mp2-be-gr-15,2023.07.17 10:43:25,2023.07.17 10:44:16,2648639.22,1165059.124,1346.1,19,6,3.2,0,100.00% FloatRTK
82,mp2-be-gr-4,2023.07.17 12:34:13,2023.07.17 12:34:23,2645320.252,1162899.675,1022.26,18,8,3.1,0,100.00% FloatRTK
83,mp3-be-gr-35,2023.07.17 13:35:34,2023.07.17 13:35:47,2645230.116,1162650.011,1112.87,17,5,3.7,0,100.00% FloatRTK
84,mp2-be-gr-9,2023.07.17 15:15:09,2023.07.17 15:15:22,2644798.147,1163246.589,1058.56,18,5,1.5,0,100.00% FloatRTK
85,mp3-be-gr-31,2023.07.17 16:09:18,2023.07.17 16:09:30,2644420.057,1163349.967,1047.25,18,7,2.5,0,100.00% FloatRTK
86,mp3-be-gr-32,2023.07.17 17:03:34,2023.07.17 17:03:44,2644119.82,1163330.224,1054.73,18,7,3.4,0,100.00% FloatRTK
87,mp3-be-gr-27,2023.07.17 18:06:34,2023.07.17 18:06:55,2644445.191,1163699.679,994.73,21,8,2.1,0,100.00% FloatRTK
88,mp2-be-gr-7,2023.07.17 18:49:55,2023.07.17 18:50:20,2644620.258,1164100.931,1040.51,19,9,3.6,0,100.00% FloatRTK
89,mp2-be-gr-21,2023.07.18 10:13:47,2023.07.18 10:14:19,2642269.531,1163239.496,1419.36,20,11,2.1,0,100.00% FloatRTK
90,mp2-be-gr-16,2023.07.18 11:36:21,2023.07.18 11:36:31,2642203.224,1163751.589,1415.17,16,11,1.9,0,100.00% FloatRTK
91,p2-be-gr-55,2023.07.18 13:22:59,2023.07.18 13:23:14,2644114.912,1165213.865,1263.37,17,9,2.1,0,100.00% FloatRTK
92,mp2-be-gr-17,2023.07.18 14:17:55,2023.07.18 14:18:30,2643680.412,1165589.95,1386.71,16,7,3.2,0,100.00% FloatRTK
93,mp3-be-gr-39,2023.07.18 15:50:56,2023.07.18 15:51:24,2643634.23,1165135.887,1210.26,17,9,2.6,0,100.00% FloatRTK
94,mmp3-be-gr-33,2023.07.19 9:16:24,2023.07.19 9:16:41,2646189.627,1164240.46,1188.24,21,9,3.2,0,100.00% DiffGPS
95,mp2-be-gr-26,2023.07.19 11:22:16,2023.07.19 11:23:19,2648080.035,1166759.636,1630.54,18,9,3,0,100.00% FloatRTK
96,1,2023.07.19 11:39:55,2023.07.19 11:40:05,2648080.045,1166763.028,1631.63,16,8,3.9,0,100.00% FloatRTK
97,2,2023.07.19 11:41:06,2023.07.19 11:41:16,2648076.684,1166759.729,1630.07,16,9,3.7,0,100.00% FloatRTK
98,3,2023.07.19 11:44:04,2023.07.19 11:44:13,2648080.246,1166756.595,1629.31,17,8,3.6,0,100.00% FloatRTK
99,4,2023.07.19 11:44:36,2023.07.19 11:44:40,2648083.599,1166759.718,1630.65,17,8,3.9,0,100.00% FloatRTK
100,mp3-be-gr-46,2023.07.19 13:31:07,2023.07.19 13:31:33,2648030.382,1166749.875,1629.4,19,7,3.6,0,100.00% FloatRTK
101,1,2023.07.19 13:43:47,2023.07.19 13:43:56,2648033.466,1166751.306,1629.98,18,5,NA,0,100.00% FloatRTK
102,2,2023.07.19 13:45:27,2023.07.19 13:45:38,2648029.088,1166753.336,1630.1,18,5,NA,0,100.00% FloatRTK
103,1-true,2023.07.19 13:46:21,2023.07.19 13:46:27,2648033.353,1166751.277,1630.42,18,8,3.2,0,100.00% FloatRTK
104,2-true,2023.07.19 13:46:44,2023.07.19 13:46:50,2648029.077,1166753.107,1630.36,18,8,3.1,0,100.00% FloatRTK
105,3,2023.07.19 13:47:14,2023.07.19 13:47:18,2648027.157,1166748.585,1628.95,18,8,3.1,0,100.00% FloatRTK
106,4,2023.07.19 13:47:47,2023.07.19 13:47:51,2648031.753,1166746.906,1628.74,18,8,3.1,0,100.00% FloatRTK
107,p3-be-gr-58,2023.07.19 15:02:52,2023.07.19 15:03:31,2647629.181,1166039.407,1540.75,17,7,2.2,0,100.00% FloatRTK
108,1,2023.07.19 15:18:16,2023.07.19 15:18:21,2647632.115,1166040.141,1542.42,18,5,3.7,0,100.00% FloatRTK
109,2,2023.07.19 15:19:19,2023.07.19 15:19:30,2647629.782,1166036.084,1541.22,18,5,3.8,0,100.00% FloatRTK
110,4,2023.07.19 15:28:11,2023.07.19 15:28:17,2647628.652,1166043.056,1540.31,20,6,4,0,100.00% FloatRTK
111,3,2023.07.19 15:38:41,2023.07.19 15:39:33,2647626.892,1166038.54,1539.3,17,6,3.5,0,100.00% DiffGPS
112,p3-be-gr-57,2023.07.19 17:37:00,2023.07.19 17:37:32,2647243.169,1164320.333,1164.04,18,5,1.8,0,100.00% FloatRTK
113,1,2023.07.19 17:46:58,2023.07.19 17:47:03,2647246.657,1164317.958,1165.26,19,12,2,0,100.00% FloatRTK
114,2,2023.07.19 17:47:18,2023.07.19 17:47:21,2647242.149,1164316.599,1163.88,19,10,2.1,0,100.00% FloatRTK
115,3,2023.07.19 17:47:34,2023.07.19 17:47:37,2647240.569,1164321.226,1164.12,19,10,2.4,0,100.00% FloatRTK
116,4,2023.07.19 17:48:05,2023.07.19 17:48:12,2647245.168,1164322.741,1165.31,19,11,2.3,0,100.00% FloatRTK
117,p3-be-gr-57-true,2023.07.19 17:48:47,2023.07.19 17:49:36,2647243.588,1164319.616,1164.77,19,13,1.7,0,100.00% FloatRTK
119,mp4-be-be-8,2023.07.20 10:13:58,2023.07.20 10:14:23,2629404.925,1172261.255,1290.26,19,9,3.1,0,100.00% FloatRTK
120,mp4-be-be-7,2023.07.20 11:26:59,2023.07.20 11:27:12,2628840.357,1170726.666,877.06,18,10,3,0,100.00% DiffGPS
